timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
40th < 2040,EU < DE < de < 34DE,powerToX < electrolysis < alkElectrolysis,none,none,expConv,7.55420151631067,
40th < 2040,EU < DE < de < 35DE,powerToX < electrolysis < alkElectrolysis,none,none,expConv,11.366084485533854,
40th < 2040,EU < DE < de < 36DE,powerToX < electrolysis < alkElectrolysis,none,none,expConv,9.965459580874729e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < electrolysis < alkElectrolysis,none,none,expConv,0.00010309209963991043,
40th < 2040,EU < DE < de < 31DE,powerToX < electrolysis < alkElectrolysis,none,none,capaConv,12.26363947000223,
40th < 2040,EU < DE < de < 32DE,powerToX < electrolysis < alkElectrolysis,none,none,capaConv,8.329923863415207,
40th < 2040,EU < DE < de < 33DE,powerToX < electrolysis < alkElectrolysis,none,none,capaConv,17.475722373377568,
40th < 2040,EU < DE < de < 34DE,powerToX < electrolysis < alkElectrolysis,none,none,capaConv,7.55420151631067,
40th < 2040,EU < DE < de < 35DE,powerToX < electrolysis < alkElectrolysis,none,none,capaConv,11.366084485533854,
40th < 2040,EU < DE < de < 36DE,powerToX < electrolysis < alkElectrolysis,none,none,capaConv,9.965459580874729e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < electrolysis < alkElectrolysis,none,none,capaConv,0.00010309209963991043,
40th < 2040,EU < DE < de < 32DE,wind < offshore < offshore_a,none,none,expConv,70.43251359805842,
40th < 2040,EU < DE < de < 32DE,wind < offshore < offshore_a,none,none,capaConv,70.43251359805842,
40th < 2040,EU < DE < de < 32DE,wind < offshore < offshore_b,none,none,expConv,0.00023447641165960832,
40th < 2040,EU < DE < de < 32DE,wind < offshore < offshore_b,none,none,capaConv,0.00023447641165960832,
40th < 2040,EU < DE < de < 31DE,networkHeat < pitThermalStorage,none,1,capaStOut,40.045414608561366,
40th < 2040,EU < DE < de < 32DE,networkHeat < pitThermalStorage,none,1,capaStOut,30.843757791985265,
40th < 2040,EU < DE < de < 33DE,networkHeat < pitThermalStorage,none,1,capaStOut,53.25304954439646,
40th < 2040,EU < DE < de < 34DE,networkHeat < pitThermalStorage,none,1,capaStOut,30.361474492203595,
40th < 2040,EU < DE < de < 35DE,networkHeat < pitThermalStorage,none,1,capaStOut,36.542316936626904,
40th < 2040,EU < DE < de < 36DE,networkHeat < pitThermalStorage,none,1,capaStOut,52.29251352684027,
40th < 2040,EU < DE < de < 37DE,networkHeat < pitThermalStorage,none,1,capaStOut,51.72660271651084,
40th < 2040,EU < DE < de < 31DE,networkHeat < pitThermalStorage,none,1,capaStSize,6006.812191284205,
40th < 2040,EU < DE < de < 32DE,networkHeat < pitThermalStorage,none,1,capaStSize,4626.56366879779,
40th < 2040,EU < DE < de < 33DE,networkHeat < pitThermalStorage,none,1,capaStSize,7987.95743165947,
40th < 2040,EU < DE < de < 34DE,networkHeat < pitThermalStorage,none,1,capaStSize,4554.221173830539,
40th < 2040,EU < DE < de < 35DE,networkHeat < pitThermalStorage,none,1,capaStSize,5481.3475404940355,
40th < 2040,EU < DE < de < 36DE,networkHeat < pitThermalStorage,none,1,capaStSize,7843.877029026041,
40th < 2040,EU < DE < de < 37DE,networkHeat < pitThermalStorage,none,1,capaStSize,7758.990407476626,
40th < 2040,EU < DE < de < 31DE,networkHeat < pitThermalStorage,none,1,expStSize,6006.812191284205,
40th < 2040,EU < DE < de < 32DE,networkHeat < pitThermalStorage,none,1,expStSize,4626.56366879779,
40th < 2040,EU < DE < de < 33DE,networkHeat < pitThermalStorage,none,1,expStSize,7987.95743165947,
40th < 2040,EU < DE < de < 34DE,networkHeat < pitThermalStorage,none,1,expStSize,4554.221173830539,
40th < 2040,EU < DE < de < 35DE,networkHeat < pitThermalStorage,none,1,expStSize,5481.3475404940355,
40th < 2040,EU < DE < de < 36DE,networkHeat < pitThermalStorage,none,1,expStSize,7843.877029026042,
40th < 2040,EU < DE < de < 37DE,networkHeat < pitThermalStorage,none,1,expStSize,7758.990407476626,
40th < 2040,EU < DE < de < 31DE,networkHeat < pitThermalStorage,none,1,expStOut,40.04541460856137,
40th < 2040,EU < DE < de < 32DE,networkHeat < pitThermalStorage,none,1,expStOut,30.84375779198527,
40th < 2040,EU < DE < de < 33DE,networkHeat < pitThermalStorage,none,1,expStOut,53.25304954439646,
40th < 2040,EU < DE < de < 34DE,networkHeat < pitThermalStorage,none,1,expStOut,30.36147449220359,
40th < 2040,EU < DE < de < 35DE,networkHeat < pitThermalStorage,none,1,expStOut,36.542316936626904,
40th < 2040,EU < DE < de < 36DE,networkHeat < pitThermalStorage,none,1,expStOut,52.292513526840274,
40th < 2040,EU < DE < de < 37DE,networkHeat < pitThermalStorage,none,1,expStOut,51.72660271651084,
40th < 2040,EU < DE < de < 31DE,networkHeat < pitThermalStorage,none,1,capaStIn,40.045414608561366,
40th < 2040,EU < DE < de < 32DE,networkHeat < pitThermalStorage,none,1,capaStIn,30.843757791985265,
40th < 2040,EU < DE < de < 33DE,networkHeat < pitThermalStorage,none,1,capaStIn,53.25304954439646,
40th < 2040,EU < DE < de < 34DE,networkHeat < pitThermalStorage,none,1,capaStIn,30.361474492203595,
40th < 2040,EU < DE < de < 35DE,networkHeat < pitThermalStorage,none,1,capaStIn,36.542316936626904,
40th < 2040,EU < DE < de < 36DE,networkHeat < pitThermalStorage,none,1,capaStIn,52.29251352684027,
40th < 2040,EU < DE < de < 37DE,networkHeat < pitThermalStorage,none,1,capaStIn,51.72660271651084,
40th < 2040,EU < DE < de < 31DE,networkHeat < pitThermalStorage,none,1,expStIn,40.04541460856137,
40th < 2040,EU < DE < de < 32DE,networkHeat < pitThermalStorage,none,1,expStIn,30.84375779198527,
40th < 2040,EU < DE < de < 33DE,networkHeat < pitThermalStorage,none,1,expStIn,53.25304954439646,
40th < 2040,EU < DE < de < 34DE,networkHeat < pitThermalStorage,none,1,expStIn,30.36147449220359,
40th < 2040,EU < DE < de < 35DE,networkHeat < pitThermalStorage,none,1,expStIn,36.542316936626904,
40th < 2040,EU < DE < de < 36DE,networkHeat < pitThermalStorage,none,1,expStIn,52.292513526840274,
40th < 2040,EU < DE < de < 37DE,networkHeat < pitThermalStorage,none,1,expStIn,51.72660271651084,
40th < 2040,EU < DE < de < 31DE,powerToX < h2Storage < h2StorageTank,none,1,capaStOut,1.4044009964982527e-5,
40th < 2040,EU < DE < de < 32DE,powerToX < h2Storage < h2StorageTank,none,1,capaStOut,1.3991700710430524e-5,
40th < 2040,EU < DE < de < 33DE,powerToX < h2Storage < h2StorageTank,none,1,capaStOut,1.4027180420946781e-5,
40th < 2040,EU < DE < de < 34DE,powerToX < h2Storage < h2StorageTank,none,1,capaStOut,1.3964289499420486e-5,
40th < 2040,EU < DE < de < 35DE,powerToX < h2Storage < h2StorageTank,none,1,capaStOut,1.4018606163741955e-5,
40th < 2040,EU < DE < de < 36DE,powerToX < h2Storage < h2StorageTank,none,1,capaStOut,1.4365292869923697e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < h2Storage < h2StorageTank,none,1,capaStOut,1.4376953660364266e-5,
40th < 2040,EU < DE < de < 31DE,powerToX < h2Storage < h2StorageTank,none,1,expStOut,1.4044009964982528e-5,
40th < 2040,EU < DE < de < 32DE,powerToX < h2Storage < h2StorageTank,none,1,expStOut,1.3991700710430524e-5,
40th < 2040,EU < DE < de < 33DE,powerToX < h2Storage < h2StorageTank,none,1,expStOut,1.4027180420946781e-5,
40th < 2040,EU < DE < de < 34DE,powerToX < h2Storage < h2StorageTank,none,1,expStOut,1.3964289499420486e-5,
40th < 2040,EU < DE < de < 35DE,powerToX < h2Storage < h2StorageTank,none,1,expStOut,1.4018606163741953e-5,
40th < 2040,EU < DE < de < 36DE,powerToX < h2Storage < h2StorageTank,none,1,expStOut,1.4365292869923697e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < h2Storage < h2StorageTank,none,1,expStOut,1.4376953660364268e-5,
40th < 2040,EU < DE < de < 31DE,powerToX < h2Storage < h2StorageTank,none,1,capaStIn,1.5779670003103317e-5,
40th < 2040,EU < DE < de < 32DE,powerToX < h2Storage < h2StorageTank,none,1,capaStIn,1.572089559603945e-5,
40th < 2040,EU < DE < de < 33DE,powerToX < h2Storage < h2StorageTank,none,1,capaStIn,1.5760760284454586e-5,
40th < 2040,EU < DE < de < 34DE,powerToX < h2Storage < h2StorageTank,none,1,capaStIn,1.569009652115769e-5,
