timestep_3,region_1,technology_1,parameter,value
d348,AT,wind,avaConv,0.0
d349,AT,wind,avaConv,0.0
d350,AT,wind,avaConv,0.035139473684210526
d351,AT,wind,avaConv,0.04425010964912281
d352,AT,wind,avaConv,0.1762512792397661
d353,AT,wind,avaConv,0.04378680555555556
d354,AT,wind,avaConv,0.23575983187134505
d355,AT,wind,avaConv,0.20423538011695908
d356,AT,wind,avaConv,0.19818830409356727
d357,AT,wind,avaConv,0.1009206140350877
d358,AT,wind,avaConv,0.11878534356725146
d359,AT,wind,avaConv,0.057482163742690065
d360,AT,wind,avaConv,0.22332097953216373
d361,AT,wind,avaConv,0.04979228801169591
d362,AT,wind,avaConv,0.01513044590643275
d363,AT,wind,avaConv,0.005197843567251462
d364,AT,wind,avaConv,0.12854824561403508
d365,AT,wind,avaConv,0.3299958333333334
d001,BE,wind,avaConv,0.00044708333333333335
d002,BE,wind,avaConv,0.0
d003,BE,wind,avaConv,0.0
d004,BE,wind,avaConv,0.0
d005,BE,wind,avaConv,0.000145
d006,BE,wind,avaConv,0.008500138888888889
d007,BE,wind,avaConv,0.09918506944444444
d008,BE,wind,avaConv,0.15113541666666666
d009,BE,wind,avaConv,0.01737784722222222
d010,BE,wind,avaConv,0.11197493055555557
d011,BE,wind,avaConv,0.2764872222222222
d012,BE,wind,avaConv,0.7134505555555556
d013,BE,wind,avaConv,0.38613347222222216
d014,BE,wind,avaConv,0.9447417361111112
d015,BE,wind,avaConv,0.6284610416666666
d016,BE,wind,avaConv,0.03628979166666667
d017,BE,wind,avaConv,0.0
d018,BE,wind,avaConv,0.0
d019,BE,wind,avaConv,0.0
d020,BE,wind,avaConv,0.003261736111111111
d021,BE,wind,avaConv,0.09583215277777778
d022,BE,wind,avaConv,0.4474538194444444
d023,BE,wind,avaConv,0.12034958333333334
d024,BE,wind,avaConv,0.004384583333333332
d025,BE,wind,avaConv,0.07677381944444445
d026,BE,wind,avaConv,0.3983714583333333
d027,BE,wind,avaConv,0.5778877777777778
d028,BE,wind,avaConv,0.6471052777777777
d029,BE,wind,avaConv,0.2022397222222222
d030,BE,wind,avaConv,0.026991875000000002
d031,BE,wind,avaConv,0.17962437499999998
d032,BE,wind,avaConv,0.32175618055555555
d033,BE,wind,avaConv,0.5398477083333333
d034,BE,wind,avaConv,0.602195625
d035,BE,wind,avaConv,0.3381155555555555
d036,BE,wind,avaConv,0.23241090277777776
d037,BE,wind,avaConv,0.4284332638888889
d038,BE,wind,avaConv,0.5370759722222223
d039,BE,wind,avaConv,0.32863034722222223
d040,BE,wind,avaConv,0.13211097222222223
d041,BE,wind,avaConv,0.2639376388888889
d042,BE,wind,avaConv,0.0
d043,BE,wind,avaConv,0.0
d044,BE,wind,avaConv,0.06659493055555554
d045,BE,wind,avaConv,0.13759034722222224
d046,BE,wind,avaConv,0.2512560416666667
d047,BE,wind,avaConv,0.11111812499999998
d048,BE,wind,avaConv,0.49565506944444443
d049,BE,wind,avaConv,0.15001694444444444
d050,BE,wind,avaConv,0.15394006944444444
d051,BE,wind,avaConv,0.5008984027777778
d052,BE,wind,avaConv,0.7633849305555556
d053,BE,wind,avaConv,0.42666493055555554
d054,BE,wind,avaConv,0.891538125
d055,BE,wind,avaConv,0.5735080555555556
d056,BE,wind,avaConv,0.7768498611111112
d057,BE,wind,avaConv,0.8451815972222223
d058,BE,wind,avaConv,0.8944182638888888
d059,BE,wind,avaConv,0.884722986111111
d060,BE,wind,avaConv,0.8519092361111111
d061,BE,wind,avaConv,0.37328895833333336
d062,BE,wind,avaConv,0.44403319444444445
d063,BE,wind,avaConv,0.7158212499999999
d064,BE,wind,avaConv,0.119436875
d065,BE,wind,avaConv,0.07009826388888889
d066,BE,wind,avaConv,0.9949027083333334
d067,BE,wind,avaConv,0.43857076388888894
d068,BE,wind,avaConv,0.7108299999999999
d069,BE,wind,avaConv,0.3310702083333333
d070,BE,wind,avaConv,0.15230416666666666
d071,BE,wind,avaConv,0.00232
d072,BE,wind,avaConv,0.0
d073,BE,wind,avaConv,0.007433541666666666
d074,BE,wind,avaConv,0.15727347222222224
d075,BE,wind,avaConv,0.160645
d076,BE,wind,avaConv,0.5551840972222222
d077,BE,wind,avaConv,0.10135013888888889
d078,BE,wind,avaConv,0.0012325
d079,BE,wind,avaConv,0.1827703472222222
d080,BE,wind,avaConv,0.34534583333333335
d081,BE,wind,avaConv,0.7347731944444444
d082,BE,wind,avaConv,0.40933291666666666
d083,BE,wind,avaConv,0.005284722222222222
d084,BE,wind,avaConv,0.5528425
d085,BE,wind,avaConv,0.18779354166666667
d086,BE,wind,avaConv,0.00039874999999999996
d087,BE,wind,avaConv,0.0
d088,BE,wind,avaConv,0.0
d089,BE,wind,avaConv,0.0
d090,BE,wind,avaConv,0.09207069444444443
d091,BE,wind,avaConv,0.15680881944444444
d092,BE,wind,avaConv,0.27691611111111114
d093,BE,wind,avaConv,0.07945319444444444
d094,BE,wind,avaConv,0.33450854166666666
d095,BE,wind,avaConv,0.29759715277777776
d096,BE,wind,avaConv,0.10205479166666667
d097,BE,wind,avaConv,0.09494444444444446
d098,BE,wind,avaConv,0.2502811111111111
d099,BE,wind,avaConv,0.4724331944444444
d100,BE,wind,avaConv,0.3814938888888889
d101,BE,wind,avaConv,0.414041875
d102,BE,wind,avaConv,0.2649376388888889
d103,BE,wind,avaConv,0.1102357638888889
d104,BE,wind,avaConv,0.11763229166666667
d105,BE,wind,avaConv,0.0
d106,BE,wind,avaConv,0.0
d107,BE,wind,avaConv,0.0042654166666666665
d108,BE,wind,avaConv,0.00016916666666666667
d109,BE,wind,avaConv,0.012167986111111112
d110,BE,wind,avaConv,0.0934025
d111,BE,wind,avaConv,0.0
d112,BE,wind,avaConv,0.04972986111111111
d113,BE,wind,avaConv,0.05602256944444444
d114,BE,wind,avaConv,0.0
d115,BE,wind,avaConv,0.007718263888888889
d116,BE,wind,avaConv,0.005558888888888888
d117,BE,wind,avaConv,0.11826402777777778
d118,BE,wind,avaConv,0.05105416666666666
d119,BE,wind,avaConv,0.07629736111111111
d120,BE,wind,avaConv,0.28929305555555557
d121,BE,wind,avaConv,0.18453666666666668
d122,BE,wind,avaConv,0.021064583333333334
d123,BE,wind,avaConv,0.004398333333333334
d124,BE,wind,avaConv,0.0
d125,BE,wind,avaConv,0.0
d126,BE,wind,avaConv,0.0
d127,BE,wind,avaConv,0.0
d128,BE,wind,avaConv,0.0016916666666666666
d129,BE,wind,avaConv,0.23803875000000002
d130,BE,wind,avaConv,0.3538604166666667
d131,BE,wind,avaConv,0.1441263888888889
d132,BE,wind,avaConv,0.4508784027777778
d133,BE,wind,avaConv,0.30564861111111113
