timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2686,CH,scr1,electricity,dem,6.58277219684875
h2687,CH,scr1,electricity,dem,6.3393271419037
h2688,CH,scr1,electricity,dem,6.25911285618942
h2689,CH,scr1,electricity,dem,6.21819759306964
h2690,CH,scr1,electricity,dem,6.259334955707
h2691,CH,scr1,electricity,dem,6.30156572493777
h2692,CH,scr1,electricity,dem,6.22914814252018
h2693,CH,scr1,electricity,dem,6.29112066999271
h2694,CH,scr1,electricity,dem,6.47438990076194
h2695,CH,scr1,electricity,dem,6.82957671394875
h2696,CH,scr1,electricity,dem,7.13619759306964
h2697,CH,scr1,electricity,dem,7.30168110955315
h2698,CH,scr1,electricity,dem,7.41325253812458
h2699,CH,scr1,electricity,dem,7.5348294612015
h2700,CH,scr1,electricity,dem,7.3621316590037
h2701,CH,scr1,electricity,dem,7.29398880186084
h2702,CH,scr1,electricity,dem,7.23021407658612
h2703,CH,scr1,electricity,dem,7.12721957109161
h2704,CH,scr1,electricity,dem,7.04009319746523
h2705,CH,scr1,electricity,dem,6.94586792273997
h2706,CH,scr1,electricity,dem,6.87017561504766
h2707,CH,scr1,electricity,dem,6.86356023043227
h2708,CH,scr1,electricity,dem,6.87048330735535
h2709,CH,scr1,electricity,dem,6.72179649416853
h2710,CH,scr1,electricity,dem,6.53757671394875
h2711,CH,scr1,electricity,dem,6.2941316590037
h2712,CH,scr1,electricity,dem,6.21391737328942
h2713,CH,scr1,electricity,dem,6.27255891629964
h2714,CH,scr1,electricity,dem,6.313696278937
h2715,CH,scr1,electricity,dem,6.35592704816777
h2716,CH,scr1,electricity,dem,6.28350946575019
h2717,CH,scr1,electricity,dem,6.34548199322271
h2718,CH,scr1,electricity,dem,6.52875122399194
h2719,CH,scr1,electricity,dem,6.88393803717875
h2720,CH,scr1,electricity,dem,7.19055891629964
h2721,CH,scr1,electricity,dem,7.35604243278315
h2722,CH,scr1,electricity,dem,7.46761386135458
h2723,CH,scr1,electricity,dem,7.5891907844315
h2724,CH,scr1,electricity,dem,7.4164929822337
h2725,CH,scr1,electricity,dem,7.34835012509084
h2726,CH,scr1,electricity,dem,7.28457539981612
h2727,CH,scr1,electricity,dem,7.18158089432161
h2728,CH,scr1,electricity,dem,7.09445452069523
h2729,CH,scr1,electricity,dem,7.00022924596997
h2730,CH,scr1,electricity,dem,6.92453693827766
h2731,CH,scr1,electricity,dem,6.91792155366227
h2732,CH,scr1,electricity,dem,6.92484463058535
h2733,CH,scr1,electricity,dem,6.77615781739853
h2734,CH,scr1,electricity,dem,6.59193803717875
h2735,CH,scr1,electricity,dem,6.3484929822337
h2736,CH,scr1,electricity,dem,6.26827869651942
h2737,CH,scr1,electricity,dem,5.56125289122964
h2738,CH,scr1,electricity,dem,5.602390253867
h2739,CH,scr1,electricity,dem,5.64462102309777
h2740,CH,scr1,electricity,dem,5.57220344068019
h2741,CH,scr1,electricity,dem,5.63417596815271
